#{"t_start": 1770576848.9145932, "env_id": "None"}
r,l,t
-25.651222,1,1.931313
-11.980595,1,1.932134
-4.974927,1,1.933183
-29.659576,1,1.933897
-18.771813,1,1.934741
-16.526827,1,1.935449
-19.939761,1,1.93626
-4.282565,1,1.937029
-18.342461,1,1.937816
-33.242985,1,1.938525
-9.602152,1,1.939228
-27.684885,1,1.93996
100.0,1,1.940678
-15.740783,1,1.941381
-6.036495,1,1.942393
-30.014402,1,1.943444
-17.201724,1,1.944261
-27.22645,1,1.944974
-32.251978,1,1.945683
-17.540728,1,1.946388
-16.453974,1,1.947096
-23.104091,1,1.947801
-14.882708,1,1.948519
100.0,1,1.949232
-16.727217,1,1.949941
100.0,1,1.950657
-31.419159,1,1.951358
-31.699026,1,1.952069
-7.430166,1,1.952778
-10.412735,1,1.953517
-17.888683,1,1.954221
-22.259124,1,1.954969
-4.306655,1,1.955732
-20.767841,1,1.95649
-14.245729,1,1.957305
100.0,1,1.958014
-4.811226,1,1.958782
-20.739873,1,1.959481
-28.613823,1,1.960197
-32.712978,1,1.960913
-4.916612,1,1.961674
-31.133922,1,1.962376
100.0,1,1.963093
-32.957079,1,1.963803
-14.347559,1,1.964669
-28.827671,1,1.965374
-5.915015,1,1.966285
-14.151342,1,1.967009
-19.931663,1,1.967725
-5.019718,1,1.968506
-20.507673,1,1.969209
-11.225658,1,1.969978
-30.992262,1,1.970689
-16.612046,1,1.971733
-15.05089,1,1.972442
-12.463919,1,1.973273
-26.267511,1,1.974154
-10.39724,1,1.974904
-24.591195,1,1.975613
-14.846889,1,1.976321
-3.517399,1,1.977089
100.0,1,1.977787
-20.825907,1,1.978488
-26.148779,1,1.979545
-13.393083,1,1.980252
-8.063064,1,1.980987
-11.95918,1,1.981699
-9.07727,1,1.982466
-27.514719,1,1.983173
-24.298361,1,1.983893
-19.945233,1,1.984945
-28.491069,1,1.985814
-25.371744,1,1.986531
-17.310429,1,1.987238
-15.365262,1,1.987967
-11.908556,1,1.989008
-25.891681,1,1.989731
-25.020918,1,1.990437
-21.221421,1,1.991485
-10.75331,1,1.992269
-16.37614,1,1.993297
-2.860918,1,1.994131
-29.636406,1,1.994846
-2.867762,1,1.995628
-13.318573,1,1.996336
-28.993278,1,1.997043
-4.656255,1,1.997821
-33.37553,1,1.998533
100.0,1,1.999303
-6.196762,1,2.000114
-13.136255,1,2.000831
-30.046185,1,2.001545
-16.549358,1,2.002266
-4.779303,1,2.002984
-26.220595,1,2.003693
-30.917434,1,2.004401
100.0,1,2.0051
-3.260093,1,2.005826
-16.672298,1,2.0066
-14.057501,1,2.007377
-26.517652,1,2.008098
-5.943532,1,2.00882
-29.694684,1,2.009727
-16.155621,1,2.010438
-13.559679,1,2.011378
-22.602135,1,2.012438
-33.126163,1,2.013165
-5.60894,1,2.014047
-15.481987,1,2.01511
-14.445182,1,2.01612
-22.860918,1,2.016839
-18.943097,1,2.017553
-23.779741,1,2.018256
-2.758934,1,2.019135
-11.927411,1,2.019852
-13.057528,1,2.020564
-14.951166,1,2.021268
-28.755949,1,2.021984
-7.807943,1,2.022746
-15.914772,1,2.023813
-2.421355,1,2.024588
-2.40254,1,2.025442
-8.480722,1,2.026269
-12.093624,1,2.027274
-22.372104,1,2.028053
-12.423739,1,2.028855
-31.285531,1,2.029569
-18.009893,1,2.030302
100.0,1,2.031032
-26.643466,1,2.031748
-9.5663,1,2.032539
-29.214726,1,2.033249
-20.205047,1,2.034035
-26.13155,1,2.034757
-26.995532,1,2.035466
-28.626333,1,2.036173
-7.872114,1,2.036926
-32.340819,1,2.037648
-19.966422,1,2.038356
-2.558774,1,2.03911
100.0,1,2.039813
-20.428663,1,2.040523
-25.106517,1,2.041412
-7.003563,1,2.042168
-3.087259,1,2.042939
-30.484611,1,2.043654
-11.627873,1,2.044448
-17.471122,1,2.04539
-4.700866,1,2.046188
-24.181299,1,2.0469
-4.997365,1,2.047656
-3.063328,1,2.04842
-26.053213,1,2.04913
-4.64445,1,2.049918
-30.79609,1,2.050633
-6.2403,1,2.051648
-17.800574,1,2.052365
-27.864508,1,2.053073
-9.247975,1,2.054001
-27.511887,1,2.054723
-22.371407,1,2.055546
-21.980307,1,2.056257
-35.090047,1,2.056964
-23.835503,1,2.057683
-29.274362,1,2.058393
-6.002092,1,2.059432
-25.235588,1,2.060202
-33.767684,1,2.060928
100.0,1,2.061645
-31.223764,1,2.062352
-23.986923,1,2.063056
-28.729852,1,2.063997
-29.353761,1,2.064712
-18.302088,1,2.065417
-16.544178,1,2.066147
-3.927812,1,2.066919
-17.481408,1,2.067639
-32.568966,1,2.068346
-2.544731,1,2.0691
-32.666037,1,2.069809
-5.225791,1,2.070791
-10.867964,1,2.071642
-24.139753,1,2.072349
-13.365238,1,2.073052
-9.498635,1,2.073777
-11.110342,1,2.074479
100.0,1,2.0752
-10.937963,1,2.075947
-9.362389,1,2.076665
-19.535171,1,2.077368
-27.283129,1,2.078074
-6.797053,1,2.078836
-16.67845,1,2.079578
-8.907044,1,2.080376
-14.758278,1,2.081099
-8.749663,1,2.08188
-30.043769,1,2.082596
-20.280797,1,2.083364
-21.325849,1,2.08407
-17.689039,1,2.084788
-23.50919,1,2.085491
-23.724703,1,2.086453
-3.055435,1,2.087252
-24.66187,1,2.088059
-19.977536,1,2.088775
100.0,1,2.089487
100.0,1,2.090201
-19.178637,1,2.09098
-24.99645,1,2.091695
-13.775661,1,2.092402
-14.639046,1,2.093107
-23.636796,1,2.093824
100.0,1,2.094535
100.0,1,2.095241
-3.459758,1,2.095959
-11.490957,1,2.096725
-10.41315,1,2.097657
-30.873088,1,2.098378
-20.713403,1,2.099096
-25.97048,1,2.099815
-31.805072,1,2.100528
-28.265378,1,2.101234
-31.131913,1,2.101968
-20.426262,1,2.102705
-21.081423,1,2.103411
100.0,1,2.104442
-33.432412,1,2.105154
-33.076857,1,2.105875
-20.840633,1,2.106587
-31.563515,1,2.107291
-26.800716,1,2.107999
-22.021732,1,2.108757
-8.974445,1,2.109599
-3.057939,1,2.110322
-27.035514,1,2.111027
-15.820303,1,2.112002
-17.847773,1,2.11287
-15.243474,1,2.113581
100.0,1,2.114391
-15.917591,1,2.115102
-8.957995,1,2.115913
100.0,1,2.116634
-26.366395,1,2.117338
-30.42654,1,2.118048
-31.456168,1,2.118768
-19.425372,1,2.119827
-26.885562,1,2.120547
-14.197953,1,2.121376
-11.088958,1,2.122156
-32.163098,1,2.122869
-25.893421,1,2.123579
-23.974535,1,2.124282
-20.188882,1,2.125001
100.0,1,2.125823
-4.046247,1,2.126534
-11.47525,1,2.12726
100.0,1,2.127989
-30.352948,1,2.128706
-31.046971,1,2.129413
-17.876172,1,2.130117
-11.079767,1,2.130834
-22.343576,1,2.13155
-7.884855,1,2.132387
-28.509454,1,2.133099
-9.67784,1,2.133815
-17.808895,1,2.134529
-16.193631,1,2.135246
-18.882984,1,2.135954
-14.069544,1,2.13684
-4.308576,1,2.137877
-11.880112,1,2.138598
-9.05315,1,2.139422
-30.961494,1,2.140148
-10.278979,1,2.140914
-27.361068,1,2.141627
-32.27055,1,2.142333
-17.375371,1,2.143254
-17.018759,1,2.144277
-16.338385,1,2.145252
-30.486203,1,2.145977
-33.781384,1,2.146693
-10.605055,1,2.147399
